,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:ISI,split_value:2.5,gini_value:0.03959866220735791,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:80,depth:1},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.029813664596273298,train_num_sample:115,depth:1,left_tree:{split_feature: Ws,split_value:14.0,gini_value:0.21428571428571427,train_num_sample:7,depth:2,left_tree:{leaf_value:1.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}},right_tree:{leaf_value:1.0,train_num_sample:108,depth:2}}}","[1, 1, 2]",0.8979591836734693,0.9074074074074074,0.8148148148148148,1.0,0.8979591836734694,"[[22  5]
 [ 0 22]]",3,4,0.9948717948717949
1,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,depth:0,left_tree:{split_feature:FFMC,split_value:79.9,gini_value:0.01829268292682927,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:78,depth:2},right_tree:{leaf_value:0.0,train_num_sample:4,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.012012012012012012,train_num_sample:111,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:1.0,train_num_sample:108,depth:3}}}}","[2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,5,0.9897435897435898
2,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,depth:0,left_tree:{split_feature:ISI,split_value:2.4,gini_value:0.01951219512195121,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:77,depth:2},right_tree:{leaf_value:0.0,train_num_sample:5,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FWI,split_value:3.4,gini_value:0.012012012012012012,train_num_sample:111,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{leaf_value:1.0,train_num_sample:108,depth:3}}}}","[3, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,5,0.9897435897435898
3,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,depth:0,left_tree:{split_feature:FFMC,split_value:79.7,gini_value:0.020905923344947744,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:75,depth:2},right_tree:{split_feature: RH,split_value:55.0,gini_value:0.19047619047619047,train_num_sample:7,depth:2,left_tree:{leaf_value:0.0,train_num_sample:4,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FWI,split_value:3.7,gini_value:0.014414414414414406,train_num_sample:111,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{leaf_value:1.0,train_num_sample:106,depth:3}}}}","[5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,6,0.9897435897435898
4,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,depth:0,left_tree:{split_feature:ISI,split_value:2.2,gini_value:0.021680216802168025,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:73,depth:2},right_tree:{split_feature: RH,split_value:67.0,gini_value:0.14814814814814814,train_num_sample:9,depth:2,left_tree:{leaf_value:0.0,train_num_sample:6,depth:3},right_tree:{leaf_value:0.0,train_num_sample:3,depth:3}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FWI,split_value:3.7,gini_value:0.014414414414414406,train_num_sample:111,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{leaf_value:1.0,train_num_sample:106,depth:3}}}}","[7, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",3,6,0.9897435897435898
5,"{split_feature:ISI,split_value:2.6,gini_value:0.04008368061897097,train_num_sample:195,depth:0,left_tree:{split_feature:FFMC,split_value:78.8,gini_value:0.022357723577235786,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:70,depth:2},right_tree:{split_feature: RH,split_value:67.0,gini_value:0.125,train_num_sample:12,depth:2,left_tree:{leaf_value:0.0,train_num_sample:8,depth:3},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017539663557362677,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:2,depth:2},right_tree:{split_feature:FFMC,split_value:82.8,gini_value:0.015444015444015448,train_num_sample:111,depth:2,left_tree:{split_feature: Ws,split_value:15.0,gini_value:0.21428571428571427,train_num_sample:7,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:1.0,train_num_sample:3,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[10, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[27  0]
 [ 0 22]]",4,7,0.9897435897435898
6,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,depth:2,left_tree:{split_feature: RH,split_value:75.0,gini_value:0.16666666666666666,train_num_sample:6,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[1, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
7,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,depth:1},right_tree:{split_feature:ISI,split_value:2.6,gini_value:0.030542264752790992,train_num_sample:114,depth:1,left_tree:{leaf_value:0.0,train_num_sample:4,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.015151515151515145,train_num_sample:110,depth:2,left_tree:{split_feature:FFMC,split_value:81.4,gini_value:0.16666666666666666,train_num_sample:6,depth:3,left_tree:{leaf_value:1.0,train_num_sample:4,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[2, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
8,"{split_feature:FFMC,split_value:80.13434343434344,gini_value:0.03958614484930275,train_num_sample:195,depth:0,left_tree:{leaf_value:0.0,train_num_sample:81,depth:1},right_tree:{split_feature:ISI,split_value:2.7,gini_value:0.038435538387252444,train_num_sample:114,depth:1,left_tree:{leaf_value:0.0,train_num_sample:5,depth:2},right_tree:{split_feature:ISI,split_value:3.0,gini_value:0.014678899082568801,train_num_sample:109,depth:2,left_tree:{split_feature:ISI,split_value:2.8,gini_value:0.2,train_num_sample:5,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:1.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:104,depth:3}}}}","[3, 1, 2]",0.9818181818181818,0.9821428571428572,0.9642857142857143,1.0,0.9795918367346939,"[[27  1]
 [ 0 21]]",3,5,0.9846153846153847
9,"{split_feature:ISI,split_value:2.6,gini_value:0.049704738027639014,train_num_sample:195,depth:0,left_tree:{split_feature:FFMC,split_value:79.5,gini_value:0.021341463414634148,train_num_sample:82,depth:1,left_tree:{leaf_value:0.0,train_num_sample:74,depth:2},right_tree:{leaf_value:0.0,train_num_sample:8,depth:2}},right_tree:{split_feature:FFMC,split_value:80.1,gini_value:0.017538213998390912,train_num_sample:113,depth:1,left_tree:{leaf_value:0.0,train_num_sample:3,depth:2},right_tree:{split_feature:FFMC,split_value:82.2,gini_value:0.015909090909090907,train_num_sample:110,depth:2,left_tree:{leaf_value:1.0,train_num_sample:8,depth:3},right_tree:{leaf_value:1.0,train_num_sample:102,depth:3}}}}","[5, 1, 2]",1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,0.9897435897435898
